variant,recalc_date,regime,quarter,session_date,T1_entry_date,symbol,bare_symbol,cap_segment,side,entry_ts,entry_price,day_high_so_far,hard_sl,t1_target,t2_target,stop_distance,hit_t1,exit_ts,exit_price,exit_reason,qty,realized_pnl,fee,net_pnl,lane,exit_date,pct_drift
swing,2025-10-01,rule_launch,Q3_2025,2025-10-03,2025-10-03,NSE:SOBHA,SOBHA,mid_cap,SHORT,,1519.8,,,,,30.396,False,,1452.0,t+5_close,32,2169.5999999999985,50.7740912256,2118.8259087743986,primary,2025-10-10,4.669421487603298
swing,2026-01-01,post_rule,Q4_2025,2026-01-02,2026-01-02,NSE:SIGNATURE,SIGNATURE,mid_cap,SHORT,,1130.9,,,,,22.618000000000002,False,,1007.6,t+5_close,44,5425.200000000003,50.598888164,5374.601111836003,primary,2026-01-09,12.236998809051226
swing,2026-01-01,post_rule,Q4_2025,2026-01-02,2026-01-02,NSE:CASTROLIND,CASTROLIND,mid_cap,SHORT,,191.0,,,,,3.8200000000000003,False,,188.65,t+5_close,261,613.3499999999985,52.72377164189999,560.6262283580986,primary,2026-01-09,1.2456930824277679
swing,2026-01-01,post_rule,Q4_2025,2026-01-02,2026-01-02,NSE:MGL,MGL,mid_cap,SHORT,,1129.0,,,,,22.580000000000002,False,,1058.6,t+5_close,44,3097.600000000004,51.490901686399994,3046.109098313604,primary,2026-01-09,6.650292839599481
swing,2026-01-01,post_rule,Q4_2025,2026-01-02,2026-01-02,NSE:SOBHA,SOBHA,mid_cap,SHORT,,1472.2,,,,,29.444000000000003,False,,1557.2,t+5_close,33,-2805.0,52.816214101199996,-2857.8162141012,primary,2026-01-09,-5.458515283842791
swing,2026-04-01,post_rule,Q1_2026,2026-04-02,2026-04-02,NSE:SIGNATURE,SIGNATURE,mid_cap,SHORT,,715.0,,,,,14.3,False,,821.5,t+5_close,69,-7348.5,55.53053201099999,-7404.030532011,primary,2026-04-10,-12.964090079123558
swing,2026-04-01,post_rule,Q1_2026,2026-04-02,2026-04-02,NSE:CASTROLIND,CASTROLIND,mid_cap,SHORT,,174.97,,,,,3.4994,False,,179.42,t+5_close,285,-1268.2499999999968,53.5331096169,-1321.7831096168968,primary,2026-04-10,-2.480214022962879
swing,2026-04-01,post_rule,Q1_2026,2026-04-02,2026-04-02,NSE:MGL,MGL,mid_cap,SHORT,,940.75,,,,,18.815,False,,1075.75,t+5_close,53,-7155.0,56.006700547,-7211.006700547,primary,2026-04-10,-12.549384150592612
swing,2026-04-01,post_rule,Q1_2026,2026-04-02,2026-04-02,NSE:SOBHA,SOBHA,mid_cap,SHORT,,1190.0,,,,,23.8,False,,1299.9,t+5_close,42,-4615.800000000004,55.0644695748,-4670.8644695748035,primary,2026-04-10,-8.454496499730757
intraday,2024-01-01,pre_rule,Q4_2023,2024-01-02,2024-01-02,NSE:ADANIPORTS,ADANIPORTS,large_cap,SHORT,2024-01-02 09:30:00,1042.25,1048.5,1053.7424999999998,1031.8275,1021.405,11.492499999999836,True,2024-01-02 11:00:00,1037.0986494252875,t1_partial+be_trail,87,448.1674999999957,96.182414735495,351.9850852645007,wide,,
