T0_signal_date,symbol,cap_segment,side,side_total_cr,total_qty,t0_volume,vol_ratio_pct,client_names,entry_hhmm,entry_ts,entry_price,hard_sl,stop_distance,t1_target,t2_target,hit_t1,t1_exit_price,t1_exit_ts,exit_ts,exit_price,exit_reason,qty,realized_pnl,fee,net_pnl
2023-03-27,NSE:TRIDENT,mid_cap,SHORT,31.8914,12385000,15538622,79.70462245622552,TRIDENT LIMITED EMPLOYEES WELFARE TRUST,14:30,2023-03-27 14:30:00,25.5,25.627499999999998,0.12749999999999773,25.4235,25.3725,False,,,2023-03-27 14:35:00,25.627499999999998,stop,7843,-999.9824999999821,118.228562978395,-1118.2110629783772
2023-09-01,NSE:TRITURBINE,mid_cap,SHORT,55.3,1400000,380570,367.86924875844124,RATI SAWHNEY,14:30,2023-09-01 14:30:00,388.6,390.543,1.9429999999999836,387.43420000000003,386.65700000000004,False,,,2023-09-01 15:10:00,390.543,stop,514,-998.7019999999916,118.13760931181201,-1116.8396093118035
2023-08-02,NSE:UNICHEMLAB,small_cap,SHORT,945.3454,23501440,512323,4587.2311022538515,PRAKASH AMRUT MODY,14:30,2023-08-02 14:30:00,394.3,396.27149999999995,1.971499999999935,393.1171,392.3285,True,393.1171,2023-08-02 14:35:00,2023-08-02 14:40:00,393.7097165680474,breakeven_trail,507,299.2737000000045,165.31032955817778,133.96337044182673
2023-12-22,NSE:VGUARD,mid_cap,SHORT,128.7,4500000,757069,594.3976044455657,CHITTILAPPILLY THOMAS KOCHUOUSEPH,14:30,2023-12-22 14:30:00,293.5,294.9675,1.4674999999999727,292.6195,292.03249999999997,False,,,2023-12-22 14:55:00,294.9675,stop,681,-999.3674999999814,118.18487964770502,-1117.5523796476864
2024-03-27,NSE:VIJAYA,mid_cap,SHORT,51.03,810000,55690,1454.4801580175974,SUNIL CHANDRA KONDAPALLY / SURENDRANATH REDDY SURA,14:30,2024-03-27 14:30:00,630.35,633.5017499999999,3.151749999999879,628.4589500000001,627.19825,False,,,2024-03-27 14:50:00,633.5017499999999,stop,317,-999.1047499999617,118.1662165661785,-1117.2709665661403
2024-08-29,NSE:WELSPUNLIV,mid_cap,SHORT,781.4747,38081706,38483849,98.95503435740017,WELSPUN GROUP MASTER TRUST,14:30,2024-08-29 14:30:00,196.32,197.30159999999998,0.981599999999986,195.73103999999998,195.33839999999998,False,,,2024-08-29 14:50:00,197.30159999999998,stop,1018,-999.2687999999857,118.17786900585277,-1117.4466690058384
2023-09-27,NSE:WESTLIFE,mid_cap,SHORT,29.165,292000,394086,74.09550199702602,MAKINO HOLDINGS LIMITED,14:30,2023-09-27 14:30:00,975.0,979.8749999999999,4.874999999999886,972.075,970.125,True,972.075,2023-09-27 14:35:00,2023-09-27 14:50:00,971.0952439024392,t2,205,800.4749999999954,165.26409168215002,635.2109083178453
2024-01-09,NSE:YASHO,small_cap,SHORT,15.4375,95000,25707,369.54915003695487,NISHIGANDHA POLYMERS P.LTD,14:30,2024-01-09 14:30:00,1645.0,1653.225,8.224999999999909,1640.065,1636.775,True,1640.065,2024-01-09 14:35:00,2024-01-09 14:50:00,1642.5528925619838,breakeven_trail,121,296.0999999999967,165.0035956234,131.09640437659672
2024-05-02,NSE:ZAGGLE,small_cap,SHORT,67.2686,2227438,1352676,164.66899686251548,VENTUREAST PROACTIVE FUND LLC,14:30,2024-05-02 14:30:00,301.5,303.0075,1.5074999999999932,300.5955,299.9925,True,300.5955,2024-05-02 14:35:00,2024-05-02 14:40:00,301.04843212669687,breakeven_trail,663,299.3894999999949,165.304786685363,134.08471331463187
2023-12-14,NSE:ZENTEC,mid_cap,SHORT,145.0,2000000,224364,891.4086038758446,KISHORE DUTT ATLURI / RAVI KUMAR MIDATHALA / TARA DUTT ATLURI,14:30,2023-12-14 14:30:00,745.05,748.7752499999999,3.72524999999996,742.81485,741.32475,True,742.81485,2023-12-14 14:40:00,2023-12-14 14:40:00,742.0698,t2,268,798.6935999999914,165.1926816599984,633.500918339993
2023-12-28,NSE:ZYDUSWELL,mid_cap,SHORT,127.296,780000,480755,162.2448024461524,THREPSI CARE LLP,14:30,2023-12-28 14:30:00,331.3,332.95649999999995,1.6564999999999372,330.3061,329.6435,True,330.3061,2023-12-28 14:45:00,2023-12-28 15:00:00,329.9742505804312,t2,603,799.4268999999972,165.22829083717863,634.1986091628186
2024-08-06,NSE:ZYDUSWELL,mid_cap,SHORT,374.238,1700000,293685,578.8514905425881,THREPSI CARE LLP,14:30,2024-08-06 14:30:00,445.0,447.22499999999997,2.224999999999966,443.665,442.775,True,443.665,2024-08-06 15:15:00,2024-08-06 15:15:00,443.219008908686,t2,449,799.6650000000005,165.23930944101,634.4256905589905
