dims,k,cell,n,pf,wr,net,sharpe,n_months,win_mo_pct,lose_mo_pct,top_mo_pct
"cap_segment,rsi_severity,R_size_bucket",3,cap_segment=small_cap | rsi_severity=deep | R_size_bucket=3%+,2068,1.2295320857207974,56.04448742746615,112558.36883375452,0.1552853155620863,13,84.6,15.4,29.4
"rsi_severity,dow,quarter",3,rsi_severity=deep | dow=Fri | quarter=Q4,1378,1.2290720367054528,55.442670537010166,109226.61781128978,0.18683713687744538,3,66.7,33.3,96.2
"rsi_severity_fine,dow,month",3,rsi_severity_fine=L15-20 | dow=Fri | month=May,373,1.2287407489058857,55.49597855227882,24060.024322646637,0.2663718788272807,1,100.0,0.0,100.0
"rsi_severity_fine,dow,quarter",3,rsi_severity_fine=S75-80 | dow=Fri | quarter=Q1,1107,1.2284712268608071,58.44625112917796,89479.87875753843,0.21574538128266058,3,66.7,33.3,119.0
"cap_segment,rsi_severity_fine,month",3,cap_segment=large_cap | rsi_severity_fine=S85+ | month=Nov,130,1.227573261729547,56.15384615384615,10463.783279677342,0.17058189233093818,1,100.0,0.0,100.0
"R_size_bucket,dow,quarter",3,R_size_bucket=3%+ | dow=Thu | quarter=Q2,228,1.2275345067077792,55.70175438596491,10743.387832184417,0.2846830172766482,3,66.7,33.3,64.2
"rsi_severity_fine,R_size_bucket,dow",3,rsi_severity_fine=S85+ | R_size_bucket=2-3% | dow=Fri,250,1.2258350996147878,54.400000000000006,19344.614012203714,0.20287407903141336,13,76.9,23.1,57.3
"rsi_severity,R_size_bucket,month",3,rsi_severity=deep | R_size_bucket=3%+ | month=Feb,305,1.2248269091688333,55.73770491803278,17590.65231659818,0.2513469892457244,1,100.0,0.0,100.0
"rsi_severity_fine,dow,quarter",3,rsi_severity_fine=L20-25 | dow=Wed | quarter=Q2,1034,1.22307729483741,54.642166344294004,73804.8305910772,0.1116233043788367,3,33.3,66.7,201.0
"direction,dow,month",3,direction=short | dow=Thu | month=Jan,1041,1.2227085039060028,55.81171950048031,79888.7023506312,0.217213740552623,1,100.0,0.0,100.0
