T0_signal_date,T1_entry_date,symbol,cap_segment,t0_pct_change,t0_vol_ratio_20d,t0_close,t1_open,t1_high,gap_pct,entry_price,hard_sl,t1_target,t2_target,exit_price,exit_reason,stop_distance,qty,realized_pnl,fee,net_pnl
2024-04-30,2024-05-02,NSE:JPPOWER,mid_cap,5.000000000000004,2.4136747225571202,19.95,20.5,20.5,2.7568922305764465,20.5,20.705000000000002,20.5,19.95,20.2,eod,0.20500000000000185,4878,1463.4000000000035,82.5822032476,1380.8177967524034
2024-06-24,2024-06-25,NSE:JPPOWER,mid_cap,4.950495049504955,1.8989249595439504,20.14,20.45,20.54,1.5392254220456758,20.25,20.642699999999998,20.45,20.14,20.14,t2_full_gap_fill,0.39269999999999783,2546,280.0599999999986,54.676847913639996,225.3831520863586
2024-10-03,2024-10-04,NSE:JPPOWER,mid_cap,4.960835509138395,7.598817297118321,20.1,20.5,20.79,1.990049751243772,19.59,20.893949999999997,20.5,20.1,20.1,t2_full_gap_fill,1.3039499999999968,766,-390.6600000000012,16.11311957124,-406.77311957124124
2024-04-30,2024-05-02,NSE:JSFB,small_cap,19.998001199280434,21.325355987856423,600.35,608.0,698.75,1.2742566836012381,626.0,702.24375,608.0,600.35,660.1,eod,76.24374999999998,13,-443.3000000000003,8.8359733358,-452.1359733358003
2024-03-28,2024-04-01,NSE:JSLL,mid_cap,5.021834061135366,1.98559670781893,168.35,176.75,176.75,4.98960498960499,176.75,178.5175,176.75,168.35,174.2,eod,1.7675000000000125,565,1440.7500000000064,82.53574167049999,1358.2142583295063
2024-06-05,2024-06-06,NSE:JSLL,mid_cap,4.97263859148227,1.9924683327627526,220.6,228.2,228.6,3.4451495920217567,228.2,230.482,228.2,220.6,220.6,t2_full_gap_fill,2.2820000000000107,438,3328.7999999999975,82.4396460064,3246.3603539935975
2024-07-26,2024-07-29,NSE:JSLL,mid_cap,5.015887426236931,2.541946308724832,231.35,237.2,242.9,2.5286362653987426,235.0,244.1145,237.2,231.35,242.85,eod,9.114499999999992,109,-855.6499999999994,27.584505423899994,-883.2345054238993
2024-08-12,2024-08-13,NSE:JSLL,mid_cap,9.853107344632782,4.182776801405975,243.05,250.4,258.0,3.0240691215799087,250.0,259.28999999999996,250.4,243.05,249.4,eod,9.289999999999964,107,64.19999999999939,28.4031667348,35.796833265199396
2024-09-24,2024-09-25,NSE:JSLL,mid_cap,4.995708154506451,1.8875119161105816,305.8,321.0,321.1,4.970568999345981,321.1,324.31100000000004,321.0,305.8,318.0,eod,3.2110000000000127,311,964.1000000000071,82.56728530059999,881.532714699407
2024-08-21,2024-08-22,NSE:JTLIND,small_cap,5.942467827403464,3.69866552946513,111.96,113.15,113.52,1.0628795998570917,111.38,114.08759999999998,113.15,111.96,111.96,t2_full_gap_fill,2.707599999999985,369,-214.01999999999936,43.770933518759996,-257.79093351875935
